epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
69,520.308,0.30382,0.23854,0.85579,0.50761,0.49153,0.44271,0.13262,2.89049,1.44566,2.69699,0.0006536,0.0006536,0.0006536
70,527.424,0.29935,0.23832,0.8451,0.56197,0.59322,0.50386,0.15929,2.87221,1.46682,2.80375,0.0006338,0.0006338,0.0006338
71,533.845,0.2971,0.23162,0.84348,0.49392,0.45763,0.42968,0.12385,3.05861,1.57141,3.14359,0.000614,0.000614,0.000614
72,540.741,0.30185,0.23886,0.84399,0.5292,0.55932,0.49275,0.15394,2.77728,1.49227,2.72383,0.0005942,0.0005942,0.0005942
73,548.508,0.30452,0.23865,0.85322,0.55513,0.5288,0.51279,0.13724,2.96161,1.51275,3.08478,0.0005744,0.0005744,0.0005744
74,555.63,0.29742,0.23435,0.85058,0.48427,0.45763,0.39692,0.11163,3.01746,1.5927,3.27867,0.0005546,0.0005546,0.0005546
75,564.101,0.28046,0.22868,0.84671,0.46282,0.49153,0.40049,0.1313,2.9033,1.65735,2.86016,0.0005348,0.0005348,0.0005348
76,571.026,0.29218,0.22915,0.84847,0.56048,0.45763,0.46432,0.1385,2.97614,1.56604,2.88544,0.000515,0.000515,0.000515
77,578.045,0.2912,0.23003,0.84387,0.49895,0.44068,0.35689,0.10303,3.1271,1.66322,3.17078,0.0004952,0.0004952,0.0004952
78,585.32,0.28241,0.22371,0.84524,0.4963,0.40678,0.32402,0.07737,3.20522,1.7206,3.61297,0.0004754,0.0004754,0.0004754
79,592.383,0.29112,0.22994,0.84482,0.49526,0.45763,0.4464,0.11391,3.03994,1.60375,3.15515,0.0004556,0.0004556,0.0004556
80,601.012,0.27249,0.2185,0.84143,0.484,0.42373,0.37973,0.10482,2.97992,1.72325,3.15522,0.0004358,0.0004358,0.0004358
81,608.489,0.26886,0.21347,0.83779,0.52775,0.47355,0.47552,0.12007,2.97074,1.58014,3.13844,0.000416,0.000416,0.000416
82,615.913,0.26849,0.21371,0.83798,0.57936,0.50847,0.51618,0.139,2.92665,1.61457,3.04332,0.0003962,0.0003962,0.0003962
83,622.456,0.26133,0.20973,0.8374,0.52833,0.45567,0.42002,0.10904,3.07342,1.67865,3.38199,0.0003764,0.0003764,0.0003764
84,628.687,0.26066,0.20581,0.8425,0.53685,0.49116,0.4581,0.11462,3.08455,1.67633,3.40292,0.0003566,0.0003566,0.0003566
85,635.145,0.25662,0.20621,0.83886,0.60238,0.47458,0.49302,0.12266,3.07945,1.62821,3.40739,0.0003368,0.0003368,0.0003368
86,643.636,0.25966,0.21183,0.83654,0.47615,0.47458,0.39409,0.10957,2.97785,1.78095,3.41763,0.000317,0.000317,0.000317
87,650.541,0.25395,0.20878,0.83709,0.47147,0.47458,0.41926,0.12347,2.96531,1.83998,3.40795,0.0002972,0.0002972,0.0002972
88,657.368,0.2472,0.19847,0.83792,0.46593,0.54717,0.46536,0.12035,2.90415,1.71214,3.15695,0.0002774,0.0002774,0.0002774
89,665.815,0.24695,0.19742,0.83479,0.52639,0.49153,0.50226,0.13356,2.89995,1.59274,3.12021,0.0002576,0.0002576,0.0002576
